City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
olafsvik,63.28,63.28,49.64,92.0,100.0,15.95,IS,1594844489.0
ribeira grande,41.53,41.53,71.6,73.0,75.0,11.41,PT,1594844490.0
rivers,50.06,50.06,75.2,47.0,75.0,23.04,CA,1594844490.0
vaini,-67.95,-67.95,71.6,88.0,40.0,6.93,TO,1594844490.0
great yarmouth,55.55,55.55,60.01,99.0,100.0,8.16,GB,1594844490.0
mount gambier,-42.13,-42.13,37.4,100.0,75.0,8.05,AU,1594844490.0
muli,2.5,2.5,84.15,75.0,100.0,11.1,MV,1594844490.0
arraial do cabo,-39.33,-39.33,68.0,68.0,75.0,3.36,BR,1594844491.0
tasiilaq,73.92,73.92,46.4,75.0,0.0,10.29,GL,1594844409.0
roald,74.64,74.64,59.0,87.0,95.0,3.36,NO,1594844491.0
hobart,-82.03,-82.03,44.6,81.0,75.0,5.82,AU,1594844419.0
yellowknife,74.32,74.32,62.01,72.0,75.0,12.75,CA,1594844491.0
talnakh,81.73,81.73,46.4,93.0,75.0,4.47,RU,1594844330.0
busselton,-90.0,-90.0,59.0,89.0,19.0,18.84,AU,1594844383.0
drabiv,50.26,50.26,58.14,85.0,79.0,3.53,UA,1594844491.0
hays,39.02,39.02,104.0,44.0,4.0,5.01,US,1594844492.0
matara,0.97,0.97,78.85,85.0,100.0,5.68,LK,1594844174.0
castro,-43.6,-43.6,62.46,73.0,3.0,5.59,BR,1594844138.0
cape town,-62.79,-62.79,46.4,81.0,0.0,4.7,ZA,1594844047.0
bandarbeyla,8.02,8.02,79.95,73.0,89.0,33.35,SO,1594844315.0
avarua,-29.0,-29.0,71.6,64.0,68.0,8.05,CK,1594843997.0
bambous virieux,-30.5,-30.5,71.6,73.0,40.0,8.05,MU,1594844152.0
new norfolk,-88.61,-88.61,42.01,89.0,100.0,2.04,AU,1594844305.0
am timan,10.09,10.09,77.58,77.0,12.0,3.89,TD,1594844493.0
urumqi,41.49,41.49,77.0,38.0,97.0,2.24,CN,1594844493.0
albany,-74.1,-74.1,84.99,44.0,18.0,1.25,US,1594844493.0
changji,43.52,43.52,77.0,38.0,72.0,2.24,CN,1594844493.0
saint-raymond,47.12,47.12,81.0,44.0,75.0,8.05,CA,1594844493.0
saint-philippe,-35.03,-35.03,69.8,77.0,46.0,6.93,RE,1594844299.0
georgetown,-0.78,-0.78,80.6,94.0,20.0,4.5,MY,1594844494.0
rikitea,-34.45,-34.45,74.44,83.0,100.0,10.27,PF,1594844269.0
